iso,name,nazwa
ALB,Albania,Albania
AND,Andorra,Andora
AUT,Austria,Austria
BLR,Belarus,Białoruś
BEL,Belgium,Belgia
BIH,Bosnia and Herzegovina,Bośnia i Hercegowina
BGR,Bulgaria,Bułgaria
HRV,Croatia,Chorwacja
CYP,Cyprus,Cypr
CZE,Czech Rep.,Czechy
DNK,Denmark,Dania
EST,Estonia,Estonia
FIN,Finland,Finlandia
FRA,France,Francja
DEU,Germany,Niemcy
GRC,Greece,Grecja
HUN,Hungary,Węgry
ISL,Iceland,Islandia
IRN,Iran (Islamic Rep. of),Iran
IRQ,Iraq,Irak
IRL,Ireland,Irlandia
ISR,Israel,Izrael
ITA,Italy,Włochy
JOR,Jordan,Jordania
LVA,Latvia,Łotwa
LBN,Lebanon,Liban
LIE,Liechtenstein,Liechtenstein
LTU,Lithuania,Litwa
LUX,Luxembourg,Luksemburg
MLT,Malta,Malta
MCO,Monaco,Monako
MNE,Montenegro,Czarnogóra
NLD,Netherlands,Holandia
NOR,Norway,Norwegia
PSE,Palestinian,Palestyna
POL,Poland,Polska
PRT,Portugal,Portugalia
MDA,Rep. of Moldova,Mołdawia
ROU,Romania,Rumunia
RUS,Russian Federation,Rosja
SMR,San Marino,San Marino
SRB,Serbia and Kosovo: S/RES/1244 (1999),Serbia
SVK,Slovakia,Słowacja
SVN,Slovenia,Słowenia
ESP,Spain,Hiszpania
SWE,Sweden,Szwecja
CHE,Switzerland,Szwajcaria
SYR,Syrian Arab Rep.,Syria
MKD,The former Yugoslav Rep. of Macedonia,Macedonia
TUR,Turkey,Turcja
GBR,United Kingdom of Great Britain and Northern Ireland,Wielka Brytania
